#Year	Month	Day	Story/Summary	Keywords
#2009:http://www.cnn.com/US/2009.year.in.review/
2009	01	15	Dubbed "Miracle on the Hudson," pilot safely lands airliner in river	Hudson;pilot
2009	01	20	Barrack Obama swon in as first African-American U.S.president	Obama;U.S.president
2009	02	17	Obama signs $787 billion stimulus bill to avert economic threat	bill;economic;
2009	02	27	U.S.announces most troops out of Irag by late 2010	troop;out of;Irag
2009	05	31	228 dead after Air France jet crashes into Atlantic	jet crash;
2009	06	11	H1N1 flu declared a global pandemic	H1N1;global pandemic
2009	06	13	Massive protests flood Irans street after disputed votes	flood;masive;Irans
2009	06	25	Micheal Jackson, 50, dies after heart attack	Micheal Jackson;
2009	06	29	Convicted ponzi mastermind Bernard Madoff gets 150 years	ponzi;Bernard Madoff
2009	06	30	U.S. hands security of Iraqi towns, cities to Iraqi forces	security;U.S.
2009	08	08	First Hispanic Supreme Court justice Sotomayo sworn in 	Hispanic Supreme Court;
2009	08	25	Revered U.S. lawmaker Ted Kennedy dies of brain cancer	lawmaker;brain cancer
2008	09	09	Obama addresses Congress to appeal for health care reform	health care reform;Obama
2009	09	26	Oscar-winning director Polanski arrested on 1970s sex charge	Oscar-winning;director
2009	10	09	Obama wins Nobel Peace Prize;White House surprised	Nobel Peace Prize;
2009	11	05	Gunman kills 13 in Fort Hood, Texas, massacre	Fort Hood;massacre
2009	11	27	Tiger Woods hurt in car crash; admits transgressions	Tiger Woods;car crash
2009	12	01	Obama:30,000 more trooups to go to Afghanistan	Obama;more trooups
2009	12	07	Protests flares as nations discuss reducing greenhouse gases	reduce;greenhouse gases
2009	12	25	Nigerian held in failed bombing aboard U.S. ariliner	bombing;Nigerian
